FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
东御街88号,星汇广场,http://cd.fang.lianjia.com/loupan/p_xhgcaatig/, 28000
二环路东四段外侧汇源东路88号,仁恒滨河湾,http://cd.fang.lianjia.com/loupan/p_rhbhwaaegy/, 26000
建设巷13号,太阳公元一期,http://cd.fang.lianjia.com/loupan/p_tygyaaejd/, 19000
新都区蜀龙路1980号（三环蜀龙路熊猫基地旁）,保利公园198观岭台,http://cd.fang.lianjia.com/loupan/p_bllfydaamnr/, 10000
成华二环路东一段内侧（距离桃蹊路口站30米）,首创天禧68,http://cd.fang.lianjia.com/loupan/p_sctxaakmi/, 15500
兴城大道777号,富力桃园C区,http://cd.fang.lianjia.com/loupan/p_fltyaaeit/, 8500
东大街锦东路（牛市口派出所旁）,九龙仓擎天半岛,http://cd.fang.lianjia.com/loupan/p_jlcqtbdaaccv/, 30000
清波路77号,华润金悦湾,http://cd.fang.lianjia.com/loupan/p_hrjywaactu/, 405
安德镇政府路1号（安德政府对面）,杜鹃城,http://cd.fang.lianjia.com/loupan/p_djcaaljo/, 5100
天府大道南段海昌南路99号,新鸿基悦城,http://cd.fang.lianjia.com/loupan/p_xhjycaavie/, 17000
